	CLU#792	SPP1#875	CLEC3A#802	CA2#301	HP#697	DUSP2#794	ZNF385B#019	MT1G#745	FBXO2#305	EFHD1#343	AURKB#464	UCP2#998	DLK1#560	GRP#326	BTC#412	IHH#358	WIF1#712	SFRP5#468	IBSP#370	MYBPC2#394	AGTR2#321	KCTD4#787	OSR2#568	SOX9#935	AGR2#173	NOTUM#649	WNK4#158	KIF1A#482	LIX1#865	RAPGEF4#651	COMP#713	BSN#586	COL2A1#492	MMP13#959	COL11A1#892	ACAN#679	COL9A1#008	FMOD#709	CADM2#754	MATN3#091	MPZL2#780	VEGFA#512	CDH15#328	FN1#199	SERPINA1#429	RAC2#603	S100P#351	TINAGL1#058	TGFA#016	ADRB2#170	MCOLN2#110	FERMT1#796	CRYBA2#136	CCDC26#849	SLCO2B1#473	ACRBP#717	MYL4#395	PHOSPHO1#218	LIF#266	MSLN#885	IL7#693	CXCL12#687	GLI3#201	SMO#29	IGF2#409	IGF1#541	FGF7#741	ANGPT1#939	GRB2#049	EGFR#983	CSF1R#104	CD47#075	BMPR1B#975	NOTCH3#238	LRP5#468	KDR#934	ATF2#984	RUNX1#129	PRRX2#729	FBXO7#178	CPEB1#578	FAM104A#319	RRBP1#204	FTH1#748	PRELP#223	ACTA1#872	GLI2#537	TNXA#093	CLDN5#482	CCL19#072	LBP#461	RIPK3#139	HECTD2#568	BACE1#462	DIP2C#504	ITSN1#776	OSMR#729	B3GNT8#338	DDIT4#887	CALM2#243	CTHRC1#681	LAPTM4A#673	MYL6#082	ANXA2#590	B2M#891	LGALS1#105	CD86#895	ACTB#594	COL1A1#499	CD99#029	SLITRK6#481	LHX8#469	COL6A1#428	IFITM3#203	ANXA5#782	ITM2B#732	CXCL14#484	SLIT3#813	MDK#035	SERPINF1#283	SFRP2#122	RARRES2#496	PTN#466	SFRP4#051	THY1#851	PDGFRB#273	RUNX2#231	PRRX1#695	JUNB#473	CDH5#677	DPEP1#983	ALPL#783	ISG15#483	CTSK#450	FTL#788	MMP2#069	ACTA2#974	LUM#744	COL3A1#076	COL6A3#438	PCOLCE#465	COL1A2#403	MFAP2#417	MXRA8#422	BGN#905	FBLN1#994	ASPN#087	POSTN#809	TAGLN#547	DCN#893	IL11RA#773	WNT5A#990	BMPR1A#32	ACVRL1#950	TGFB3#747	MRFAP1#091	PRSS23#458	MYL9#058	TNFRSF14#354	RILP#366	NUPR1#230	PAPD4#761	HIST1H2AJ#583	HIST1H2AM#583	FAM46B#518	WISP3#861	LECT1#309	CDC45L#126	HIST1H1E#553	CTGF#101	WISP2#792	C16orf77#046	ZFP106#781	ZNF474#907
PHOSPHO1#218	0	4	0	0	0	0	4	4	4	4	4	2	4	4	4	4	4	0	0	4	0	4	4	4	4	0	4	4	4	4	4	4	4	4	4	0	0	4	4	4	4	0	0	4	2	2	0	4	0	2	4	4	0	4	4	0	0	5	4	4	4	4	4	0	4	4	4	0	2	4	0	2	4	4	4	4	0	0	0	0	4	2	4	2	4	4	0	4	0	4	4	2	4	4	4	4	4	2	0	0	4	0	0	0	0	0	0	0	4	0	4	4	4	2	0	2	4	4	4	4	4	4	4	4	4	4	2	4	2	4	4	2	0	4	2	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	0	4	4	4	4	4	4	4	2	2	4	2	2	2	4	4	0	4	0	4	4	0	0	0
LIF#266	0	0	0	0	0	0	4	0	0	0	0	0	4	0	0	0	0	0	0	4	0	4	0	0	0	0	0	4	4	4	0	4	4	0	0	0	0	0	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	4	0	4	4	4	5	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	4	0	0	2	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	2	2	2	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	4
MSLN#885	0	0	4	0	0	4	4	0	0	4	0	0	0	0	0	0	0	4	0	4	0	4	0	0	0	0	0	4	0	4	0	4	0	0	0	4	0	0	4	0	2	2	0	0	0	0	0	0	0	0	4	0	0	4	0	4	4	4	0	5	0	0	0	0	0	0	0	4	0	2	0	2	0	0	2	0	0	0	0	4	4	4	2	2	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	2	0	2	2	2	2	0	0	2	0	0	0	4	0	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	4	0	4	2	0	0	0	3
IL7#693	0	0	4	0	0	0	0	0	4	4	0	0	4	0	0	0	0	0	0	4	0	4	0	0	0	0	0	4	4	0	0	4	4	0	0	0	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	4	0	0	5	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	4	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	2	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	4	0	0	0	0	0	0	3
CXCL12#687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	0	0	0	0	0	0	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	4	0	4	0	4	0	0	0	5	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	3	0	3	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	2	2	2	2	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	4
GLI3#201	0	0	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	4	0	4	0	0	0	0	5	2	0	0	0	4	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	4	0	3	0	0	0
SMO#29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	3	5	0	0	0	4	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
IGF2#409	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	2	0	0	0	4	0	0	0	0	4	0	0	4	0	4	0	4	0	0	0	0	0	0	5	0	0	4	4	2	0	0	0	0	0	0	0	4	0	4	0	4	0	0	0	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	2	0	2	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	4	2	0	0	0	4
IGF1#541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	4	0	0	0	0	0	0	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	4	0	4	4	4	0	0	0	2	0	0	0	5	0	4	0	0	0	0	0	0	0	0	0	4	0	4	0	4	0	0	0	0	0	3	0	0	3	0	0	0	0	0	0	0	0	2	0	2	0	0	2	2	0	0	2	0	0	0	2	2	2	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	0	2	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	0	0	0	4
FGF7#741	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	4	0	4	4	4	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	2	0	2	0	0	2	0	0	0	2	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	2	2	2	0	2	0	0	0	0	0	0	0	2	0	0	2	0	0	0	2	0	0	0	2	0	4	4	0	0	4	0	4	2	0	0	0	4
ANGPT1#939	0	0	0	0	4	0	0	4	4	4	0	0	0	0	0	4	4	0	0	0	0	0	4	0	4	0	0	4	0	0	4	0	0	0	4	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	0	4	4	0	0	4	4	4	4	0	5	0	4	0	0	0	4	4	0	0	0	4	0	0	0	4	0	4	0	0	4	4	4	4	0	0	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	4	4	4	4	4	0	4	4	0	4	0	4	0	4	0	4	4	4	0	0	4	0	4	4	4	4	4	4	4	0	4	0	4	4	0	4	0	4	4	0	0	4	0	0	0	0	0	0	4	0	0	0	0	0	4	0	0	0
GRB2#049	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	4	4	0	0	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	3	0	4	0	0	3	0	0	0	0	3	0	3	0	0	0	0	0	0	4	0	0	0	5	4	0	2	0	0	0	0	0	0	0	0	0	3	0	0	4	4	0	4	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	4	0	0	0	0	0	0	4
EGFR#983	0	0	0	0	0	4	0	0	0	0	0	0	0	0	3	3	3	0	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	4	0	4	4	4	0	3	0	0	0	0	3	0	0	4	4	5	0	0	0	0	0	0	0	0	0	4	0	4	0	0	3	3	0	3	0	0	3	0	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	4	0	0	0	0	3
CSF1R#104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
CD47#075	0	0	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	3	0	0	0	0	3	0	3	0	3	3	0	0	0	0	0	0	0	3	0	0	5	0	0	0	0	0	0	0	3	0	3	0	0	0	0	0	0	0	3	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	3	0	0	0	0	3
BMPR1B#975	0	0	0	0	4	4	0	0	0	0	0	0	0	0	0	4	0	0	0	4	0	0	0	0	0	4	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	4	0	0	4	0	4	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	4	0	4	0	0	0	0	0	4	0	0	0	0	4	4	0	0	0	0	0	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	3
NOTCH3#238	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	4	0	0	4	0	4	4	4	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	5	0	0	0	0	0	4	0	0	0	0	3	3	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	2	0	0	0	0	0	2	2	0	0	3	0	0	3	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	3	0	0	0
LRP5#468	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	3	0	0	0	4	0	4	0	0	3	0	0	0	4	0	0	4	0	0	0	0	0	0	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	4	0	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	5	0	0	0	0	4	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	2	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KDR#934	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	4	0	4	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	4	0	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	2	2	0	2	0	0	0	2	0	0	0	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	2	0	2	2	2	0	0	2	0	0	2	0	0	0	2	2	0	0	2	0	0	0	2	0	0	0	0	0	4	4	0	0	0	0	4	2	0	0	0	4
ATF2#984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RUNX1#129	0	0	0	0	0	0	4	0	4	4	0	0	0	0	4	4	4	0	0	0	0	4	0	0	0	0	4	4	4	4	0	4	4	0	0	0	0	0	4	4	4	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	4	4	4	0	0	0	0	0	4	0	0	4	0	5	0	0	4	0	0	0	4	4	0	4	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	4	4	0	0	0	0	4	4	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	0	0	3	0	0	0	0	0
